compensation,date,type,link,address,text
Varies with experience and qualifications,2018-03-26 13:17,full-time,https://sandiego.craigslist.org/csd/web/d/full-time-web-developer/6543685221.html,"
        ,
Taylor & Pond is an established Interactive/Digital Media Agency looking for a multi-faceted web developer who is well-versed in WordPress and front-end CSS and JS and that works well in a fast-paced team environment. This is an in-house position located at our offices in San Diego, California, close to the downtown area. Multi-tasking, client mind-reading and an understanding of urgency is definitely required. Our level of customer service is a key competitive advantage. This position will never be dull, and you may be working on the front end and the back end of a website on any given day.,
 ,
Take a look at these required skills and if it reads like a match then please submit your resume:,
,
-Experience developing custom WordPress themes,
-Highly skilled in HTML5/XHTML, CSS3, and JavaScript/jQuery,
-Good eye for layout/design,
-Ability to resolve cross-browser compatibility issues, ability to build to responsive,
-Ability to develop pixel perfect implementations of Photoshop comps,
-Experience developing for mobile environments,
-Experience integrating with Content Management Systems such as Magento, WordPress, Shopify and/or DotNetNuke,
-Experience with git or other version control,
-Creative Thinker and Problem Solver,
-Excellent verbal and written skills,
,
Absolute MUST HAVES:,
,
-3+ years of solid web development experience using CSS, JavaScript and Photoshop,
-You will need to be highly skilled in HTML5 & CSS3, PHP templates and be able to lead a deployment of high-end websites,
-Ability to take a PSD page layout and convert to HTML, CSS, JavaScript/jQuery,
-U.S. Citizen/Greencard/Valid work Visa for U.S.,
-Good Communication Skills,
-Extremely Detail-Oriented,
 ,
Nice to Haves:,
,
-Experience developing custom WordPress functionality and/or plugins,
-Experience with ACF,
-Experience with Cordova or Native iOS/Android App development,
-Experience with ASP.NET,
-Experience managing Apache and/or IIS servers,
-Experience with DNS,
 ,
Our clients are diverse and there is ample opportunity to take on a variety of interesting projects so let us know about any other skills and interests in the programming realm that you may have.,
,
This position is a full time and in-house. Please send a copy of your resume and portfolio along with your salary requirements in order to be considered.    ",Full-Time Web Developer
$35 - $45 Per Hour To Start DOE,2018-03-26 15:53,part-time,https://sandiego.craigslist.org/nsd/web/d/web-designer-developer-in/6543847285.html,"
        ,
Small internet marketing firm located in Oceanside, CA. We are looking for a dedicated, hardworking Web Designer/Developer to join our team. Ideal candidate must be strong in both design and in development and work out of our Oceanside office.,
,
This position will start at 20-30 hrs per week.,
,
- Solid Photoshop Skills,
- Good eye for design,
- Good Understanding of PHP,
- Good Understanding of JS,
- Solid understanding of HTML5 and CSS3,
- Solid Understanding of the Wordpress Framework and Theme Development,
- Experience with Responsive Design,
,
Bonus Points if You Know The Following:,
,
- Bootstrap Framework,
- Solid Understanding of PHP,
- Solid Understanding of JS,
- Good Understanding of SEO,
- Good Understanding of Adwords & Conversion Tracking,
- Solid Understanding of a LAMP stack server,
,
IMPORTANT: When replying please send in portfolio of design and development work you have completed + your resume.,
,
Other Details:,
* Non-Smokers/Non-Vapors only,
,
Please put the sum of 3 and 4 in the subject line so I know you've read the ad thoroughly. Thank you.    ",Web Designer / Developer (In-House)
DOE,2018-03-27 08:44,contract,https://sandiego.craigslist.org/csd/web/d/production-designer-freelance/6544347581.html,"
        ,
Our client is looking for a Production Designer to join their team on a freelance basis! This will be onsite freelance with the potential to extend and turn in to a full-time role down the line.,
,
You will be working closely with the creative team following the direction of the lead Art Director focusing on production of print marketing materials, some packaging, and web banners.,
,
We're looking for:,
- 3+ years of print + production design experience,
- Proficiency in the Adobe Creative Suite ,
- A strong attention to detail,
- An eye for layout + creative ,
- a portfolio with a range of contemporary design deliverables,
- Light HTML skills (huge plus!),
,
Looking for more freelance or full-time job opportunities? Let us know you're available + looking by applying to our website www.creativecircle.com today!,
    ",Production Designer - Freelance
$25 per hour,2018-03-27 12:06,part-time,https://sandiego.craigslist.org/nsd/web/d/social-media-posting-work-at/6544600841.html,"
        ,
We assist businesses with getting found online for their services.,
,
We need people to help us with posting online.,
,
Compensation: $25 per hour,
,
If you would like to get hired for this position, please go to: , and fill out the form.    ",Social Media Posting - Work at Home
"Compensation is $70-100k/yr DOE, with medical and dental.",2018-03-27 16:37,full-time,https://sandiego.craigslist.org/csd/web/d/position-experienced-web/6544873698.html,"
        ,
Disclaimer: Please do not apply if you are fresh out of a code school or have less than 2 years experience in a professional environment. In-office only.,
,
About Us:,
Live Commerce is an eCommerce company that creates brands and markets directly to the consumer. ,
,
You'll be a part of taking a product from concept to massive scale. They don't teach this kind of stuff anywhere!,
,
Over the past few months we've had exponential growth. We've grown to have dozens of workers in our fulfillment and customer service centers located across the country.,
,
This position is for the headquarters based in Downtown San Diego right next to Horton Plaza.,
,
Our office is a super casual environment that promotes creativity and camaraderie.,
,
Our team is our biggest asset. We cover: ,
100% Health benefits,
Premium gym membership,
Training,
Office snacks,
Team lunches,
,
What we're looking for:,
Someone who can own a project from start to finish.,
Positive and friendly. ,
Accepts all challenges and knows nothing is impossible.,
Can always find a way to complete a goal.,
Understands driving sales and growth is more important than writing beautiful code.,
,
Skills we're looking for:,
Strong HTML5, CSS3 & JavaScript,
Understanding of A/B and Multi-variate testing,
Strong knowledge of standards-based web development and cross-browser compatibility (Responsive Design),
Strong knowledge of page speed optimization,
Version control (Git),
Photoshop / Illustrator,
Ecommerce experience is a +,
Server side knowledge is a ++,
Experience or knowledge of split testing, measuring conversion metrics etc is a +++,
,
Responsibilities:,
Design, develop, and improve pieces of our sales funnel,
Manage our growing list of web properties (over 100).,
Help provide direction to our outsourced development team where needed.,
,
Compensation:,
Compensation is $70-100k/yr DOE, with medical and dental. As we are a fast-growing company, you will have opportunities to take on additional responsibilities and grow in your role!    ",POSITION: Experienced Web Designer & Front End Developer
DOE,2018-03-28 11:32,full-time,https://sandiego.craigslist.org/csd/web/d/full-time-graphic-designer/6545538196.html,"
        ,
Are you a graphic designer that is experienced in designing for the web including banner ads, social media graphics, websites, and GIFs? Are you comfortable working in video editing software to make simple motion graphics or made-for-the-web videos? ,
,
Job Description:,
The Digital Graphic Designer will provide graphic design services, development services, and video services, QA client deliverables, and provide general design input and direction.,
,
You will be responsible for :,
,
1. Design of social media graphics, banner ads, websites, landing pages, microsites, branding documents, and other graphic design deliverables,
2. Development and coding of email templates and deliverables,
3. Design and creation, and formatting of motion graphics, GIFs, and video ads ,
4. Work with clients on the development and design  of projects,
5. Provide design guiding eye and review,
,
Must be an expert in the following applications:,
Adobe Photoshop,
Adobe Illustrator,
Adobe InDesign,
Adobe Premiere,
Final Cut Pro,
Adobe After Effects,
HTML/CSS,
JavaScript,
,
Please send resumes to Julie@nexusrecruiter. Include link to your portfolio and examples of banner ads and web graphics.,
A design test will be part of the interview process.,
    ",Full Time Graphic Designer
BOE,2018-03-30 18:27,full-time,https://sandiego.craigslist.org/nsd/web/d/user-interface-ui-ux-designer/6547800342.html,"
        ,
We're seeking a highly creative, detail-oriented user interface designer with web/interactive design skills to serve as a User Interface/User Experience Web Designer. The ideal candidate will be comfortable and adept at self-management, possess strong creative concepting skills, have experience in all major design platforms, and is looking for a long-term, prosperous and challenging career.,
,
,
,
We need a person with:,
,
- 3+ years of UI/UX experience,
- Proficient in project/client discovery, developing web strategies, site maps, and wireframes,
- Proficient in UX design,
- Excellent visual design skills including strong typography and hierarchy understanding,
- Up-to-date with the latest UI trends, techniques and technologies,
- Experience designing for web and mobile applications,
- Proficient in moodboards online branding, and style-guides,
- Extensive skills in and control of the following applications: Photoshop, Illustrator, InDesign,
- Familiar with HTML and CSS,
- Strong attention to detail and organized, production-ready file structure,
- High comfort level in presenting in a client setting,
- Ability to work autonomously or in a team setting,
- Strong work ethic    ",User Interface (UI & UX) Designer - Fun Start-Up in Vista
to be discussed based on experience,2018-04-03 11:25,part-time,https://sandiego.craigslist.org/nsd/web/d/part-time-graphic-web/6550850386.html,"
        ,
About i-SAFE Ventures,
i-SAFE Ventures is a nonprofit focusing on ""social impact"" as it relates to educating and empowering our nation's youth on safe and responsible cyber citizenship in today's global economy. ,
About the Position,
i-SAFE Ventures is searching for experienced and ""creative""  graphic design talent. Qualifications include:	,
•	Thinking creatively to produce new ideas and concepts,
•	Contributing ideas and design artwork to the overall mission,
•	Working on layouts and produce art in digital and print format,
•	Possess understanding of multimedia design and experience building files for both print and digital,
•	Demonstrate hands-on skills in the latest Adobe Creative Suite,
•	Have the ability to manage projects and remain flexible while keeping a keen attention to detail,
•	Experienced in designing email campaigns, banner ads, website assets and print projects that are  creative/contemporary design and obtain results,
•	Develop images, pictures and ads for social media platforms ,
•	Develop the layout and production design of publications,
•	Have knowledge/experience in web design html, CSS and Drupal themes, templates and render functions,
•	Understanding/knowledge of Drupal 7 and this includes coding standards as it pertains to web design,
•	Well versed in user experience, user interface design, usability, accessibility, browser compatibility and A/B testing experience,
•	Possess a solid foundation in web standards, accessibility, responsive design and typography,
As a graphic designer you will be reporting directly to the Creative Director.  You need to have the ability to work within tight deadlines and maintain your creativity!  Must be able to multi-task; possess excellent time management skills; be a team player and demonstrate excellent people skills.,
,
Required Skills:,
•	Graphic Design,
•	Layout Design,
•	Interface Design,
•	Web design ,
•	Branding,
•	Must be familiar with the Macintosh platform including OSX and PC platform,
•	Must be skilled Adobe Creative Suite (Photoshop, Illustrator, InDesign, Dreamweaver),
•	Familiarity with HTML and CSS,
•	Must be familiar with the Drupal environment,
Bonus Skills:,
•	Dreamweaver,
•	WordPress,
•	Adobe Captivate,
,
Could work into a full-time position    ",Part-time Graphic/Web Designer and/or Paid Internship Position
DOE,2018-04-04 12:24,employee's choice,https://sandiego.craigslist.org/csd/web/d/website-developer-wanted/6551880218.html,"
        ,
Remote work is not accepted.,
,
Leo Hamel Fine Jewelers, a successful, upscale jewelry store serving San Diego County for over 35 years, is looking for an in house website developer. This position will report to the Director of IT. The ideal candidate will have a proven ability to work well in a team environment yet be self-driven to make sure critical tasks are handled.,
,
Verifiable Magento experience is preferred. Candidates that are not proficient with Magento will not be considered. All candidates must have 5+ years of programming experience and pass a background check.,
,
Essential Duties:,
•	Continue ongoing development of www.LeoHamel.com,
•	Creating templates,
,
Must be proficient in:,
•	Responsive Web Design,
•	UX Layouts,
•	PHP 5.5,
•	HTML5,
•	JavaScript,
•	 jQuery,
•	Sass,
•	 GIT,
•	Foundation 5.5.3,
,
Beneficial experience:,
•	PHP 7,
•	Foundation 6.4.1,
,
Please send your resume with job experience, examples of prior design layouts and include your desired salary range. Pay depends on skill level. Submit your resume with ""Green Gecko"" as the subject.,
,
If you are professional and passionate about what you do, if you enjoy spending your days with friendly coworkers in a lively work environment, if you like working with a winning team, then this may be the job for you! Your success and advancement will depend on your commitment and drive. ,
,
We are dedicated to excellence in all that we do and provide valuable ongoing training. We offer a competitive benefits package including 401k, FSA, medical/dental co-pay, paid time off, paid holidays, training, employee discount, dues and memberships. ,
,
Workweek is Tuesday - Saturday with some Mondays or Sundays during the peak Christmas season.,
,
Leo Hamel Fine Jewelers is an Equal Opportunity Employer and provides equal employment opportunities to all qualified individuals without regard to their age, race, color, religion, national origin, sex, disability, sexual orientation, or any other characteristic protected by law. Although we strive to match qualified candidates with available jobs, please note that interviewing is not a guarantee of employment.,
,
Principals only, no recruiters.,
Do not call about this job, email resume.,
    ",Website Developer Wanted - Remote work not accepted - Magento
TBD,2018-04-05 12:01,full-time,https://sandiego.craigslist.org/csd/web/d/web-designer-developer/6552804978.html,"
        ,
,
Advanced Mechatronics Solutions, Inc. is a fast growing company dealing with factory automation & machinery distribution and engineering support to various manufacturing industries. ,
We are currently seeking a highly motivated and career minded Web Design/Developer with a strong work ethic.,
,
Responsibilities:,
,
-Plan, Create, Develop high-converting web design across desktop, mobile and tablet platforms,
-Support in catalog and various graphic design projects,
-Proactively seek necessary information on project requirements to ensure clarity and alignment on timelines and deliverables,
-Take initiative and responsibility to contribute to smooth work flow and project management of key projects or assignments.,
-Update new item profiles ,
-Maintain web best practices and user experience optimization,
,
Qualifications:,
,
• Proven ability to manage multiple projects at a time while paying attention to details,
• 3yrs+ experience with Illustrator, Photoshop, InDesign,
• 3yrs + experience with CSS3, HTML5 and JavaScript ,
• Working knowledge of Wordpress and similar apps,
• Bachelor's in Fine Art Design, Marketing degree or equivalent work history,
• Manufacturing experience a plus,
• Ability to absorb and apply constructive criticism from peers,
,
    ",Web Designer/Developer
hourly,2018-04-06 17:07,part-time,https://sandiego.craigslist.org/csd/web/d/website-changes/6554058939.html,"
        ,
Popular Irish Pub is looking for someone experienced with WordPress. We have an existing website but would like changes made to it. ,
,
Please send resume to email provided. ,
,
Cheers!    ",Website Changes
80k-110k,2018-04-09 11:22,full-time,https://sandiego.craigslist.org/csd/web/d/mid-senior-full-stack-php-web/6556301240.html,"
        ,
Below is a BRIEF job description for one of our clients who is searching for a Full Stack PHP/Web Developer. This is a full time, onsite position and our client is not accepting any sponsorship. Please do not submit your information if you are unable to fulfill those two requirements. ,
,
Job Responsibilities:,
Contribute to the ongoing development of our internal loan origination software system.,
Contribute to the planning and development of any new company software systems.,
Identify code, database, and infrastructure vulnerabilities/bottlenecks, and implement solutions.,
Participate in peer code test and review.,
 ,
Basic Minimum Requirements:,
Bachelor's degree in Computer Science or IT related field.,
Previous experience in the Financial Services industry.,
5+ years as a LAMP stack developer with full life-cycle product development experience.,
A solid understanding of CS fundamentals (data structures, algorithms, etc.).,
Advanced experience with Object Oriented coding, as well as modern coding principles.,
Extensive knowledge of web development, specifically with PHP/MySQL.,
Extensive knowledge coding with Laravel MVC framework.,
Proficiency utilizing GIT version control in a team environment.,
Proficiency with secure coding principles and design.,
Proficiency with front end coding including HTML, Javascript, CSS and responsive web design.,
Experience with relational databases, schema design and optimization.,
Experience connecting with and utilizing 3rd party APIs (REST, SOAP, XML).,
Familiarity with agile development methodologies.,
Proven ability to work successfully with limited supervision.    ",Mid/Senior Full Stack PHP/Web Developer
up to $28 per hour,2018-04-09 11:28,contract,https://sandiego.craigslist.org/csd/web/d/graphic-designer-print/6556309588.html,"
        ,
Our client, a leader in the hospitality industry, is looking for a Graphic Designer to help their team for a 3 month onsite freelancing opportunity!,
,
As the Graphic Designer, you will be focused on creating all print, marketing collateral. You will be responsible for designing direct mailers, signage, flyers, brochures, etc. for a variety of different resorts and restaurants. ,
,
Ideal Candidate:,
- 3+ years experience in PRINT design,
- Comfortable working in PC environment,
- Proficient in Adobe Suite,
- Experience working in hospitality is a PLUS!,
,
You'll be working closely with their entire marketing team and have the opportunity to strategically concept new marketing promotions to produce on all marketing collateral.,
,
If you're a hard worker who can produce creative print collateral designs - apply today!,
    ",Graphic Designer (Print) - Freelance
up to $60k/DOE,2018-04-09 12:08,full-time,https://sandiego.craigslist.org/csd/web/d/email-specialist-design/6556358642.html,"
        ,
Our client, a top healthcare company in North County is looking to hire a Full-time Marketing Web Development Specialist. ,
,
The Marketing Web Development Specialist provides technical design and support, across all marketing channels. You will be responsible for web and digital initiatives to enhance lead generation and promoting corporate branding across all channels.  ,
,
Your responsibilities will include:,
-Provide digital designs for mobile app designs, web banners, landing pages, and/or e-mails,
-Design for websites for HTML and CSS  ,
-Design and code HTML e-mails templates and forms for different service lines, adhering to brand standards,
-Design and deploy campaigns within Pardot system (including e-mail campaigns, newsletters, lead gen campaigns),
-Implement strategies to track & report results for website, SEO, PPC, social media performance and activity using web analytics tool,
,
The ideal candidate has:,
-3-5 years web design experience and working within marketing environment,
-Experience working with Pardot or other e-mail management systems,
-Experience working with Salesforce.com or other CRM systems,
-Comfortable working with Google Analytics and conversion optimization tools,
-Proficient in HTML, CSS and JavaScript and Adobe Creative Suite,
,
This is a highly sought-after company with great benefits, perks and opportunity for growth. Interested? Apply today!,
,
APR. 2018    ",Email Specialist  w/Design Skills- Fulltime
up to $50ph/DOE,2018-04-09 12:10,contract,https://sandiego.craigslist.org/csd/web/d/sr-ux-ui-designer-freelance/6556360788.html,"
        ,
Our client, a boutique User Experience and Design studio, is looking for a freelance Sr. UX/UI Designer to join the team.,
,
Here's what you'll be doing:,
-Develop and interpret design requirements,
-Generate, sketch and illustrate design ideas,
-Communicate interaction design with wireframes and user-flow diagrams,
-Create high fidelity interactive prototypes,
-Iterate on designs through evaluations,
-Design and produce development ready assets,
-Present your designs to stakeholders and respond to feedback with composure,
 ,
Background we need:,
-5+ years experience designing in a product or software development process,
-A proven understanding of the user-centered design process and data-driven design,
-Exceptional communication and presentation skills,
-Software visual design sensibility,
-Prototyping in Axure, InVision, Proto.io, OmniGraffle, Balsamic, HTML5 or equivalent,
-Proficiency in Adobe Creative Cloud and Sketch,
-Passion for technology,
,
This is an exciting project and foot in the door with a hot shop in San Diego that does exceptional work! Apply today! This will be ONSITE freelance in Normal Heights.    ",Sr. UX/UI Designer- Freelance
DOE // up to $30/hr,2018-04-09 12:24,contract,https://sandiego.craigslist.org/csd/web/d/graphic-designer-freelance-to/6556377595.html,"
        ,
Our client is a lifestyle/retail brand in North County looking to hire a freelance Production Artist with a solid CPG background! This will be onsite freelance ongoing and possibility for full-time down the line.,
,
In this role, you will be reporting in to the Art Director and working closely with their in house designers. This role is heavily focused on production design and the workload will be mostly print deliverables including packaging, POP, in store displays, and tech packs.,
,
We're looking for:,
- 3+ years of heavy print + production design experience,
- Experience in the lifestyle, retail or action sports industry,
- Proficiency in Adobe Photoshop, InDesign and Illustrator,
- Strong attention to detail,
- Ability to work with printers + prep files for print,
- Creative eye ,
- Hip / contemporary portfolio (highly preferred!),
,
This is an exciting opportunity to work at growing lifestyle brand on a cool creative team with a great work culture + hours flexibility!,
,
APR. 2018    ",Graphic Designer - Freelance to Fulltime
DOE // up to $45/hr,2018-04-09 12:31,contract,https://sandiego.craigslist.org/csd/web/d/ux-ui-designer-freelance/6556385328.html,"
        ,
Our client, a global leader in medical devices space, is in need of an Interaction Designer / UX/UI Designer for the next year! This will be onsite freelance working closely with their in house team in the Sorrento Valley area.,
,
You will be working on the UX team on a cloud-based software and knowledge portals. The design challenges will require rapid Axure prototyping and clearly communicating data analytics through infographics. This role will require a combination of prototyping, interaction design, and visual design expertise.,
,
Day to day will include:,
,
- Delivering UI specifications, wireframes, workflows, and high-fidelity Axure prototypes,
- Collaborating with key product stakeholders ,
- Working collaboratively with cross-functional teams,
,
Requirements:,
- 5-7+ years of experience designing software apps in a fast-paced, collaborative environment,
- Someone who is collaborative and can liaise with design, development and marketing teams seamlessly ,
- Adobe CS Pro and proficient in Axure and InVision,
- Basic Understanding of HTML/CSS,
++ Experience with Healthcare, Medical Devices are an added bonus so let us know if you have it!,
,
This is an ONSITE freelance project for 12 months with a leader in the medical device field working with fast paced, collaborative team. Don't miss out on this opportunity- apply today!!,
,
APR. 2018    ",UX/UI Designer - Freelance
DOE,2018-04-09 12:50,contract,https://sandiego.craigslist.org/csd/web/d/digital-designer-wordpress/6556407873.html,"
        ,
Our client, an award winning medical device and software company, is looking for a Digital Designer with solid website building experience to help on a project!,
,
On this project, you will be working from strategy on a new product launch/ new business unit. Project deliverables will include designing + developing a WordPress website and digital campaign assets. This will be 80% design with 20% front end development.,
,
The ideal candidate has:,
-5+ years of experience,
-Proficient in HTML, CSS, WordPress,
-Full scale digital campaign work (website, landing pages, emails and banner ads).,
-Modern, clean aesthetic,
-Designs with conversion optimization in mind,
-Strong communicator, can jump in and work well with internal teams and quickly iterate design and adjust throughout the project ,
-ENTREPRENEURIAL spirit and can speak to design decisions,
,
Added bonus if you have:,
++ An Agency background,
++ Consumer facing work,
++ Have designed/marketed to a demographic of 55 and up,
,
If you are available for an exciting project and want to get your foot in the door with a huge SD company, let us know!!! This is ONSITE freelance with some offsite flexibility.,
,
APR. 2018    ",Digital Designer / WordPress Developer- Freelance (OFFSITE FLEX)
Entry level based on experience,2018-04-20 14:36,full-time,https://sandiego.craigslist.org/csd/web/d/immediate-opening-entry-level/6566883819.html,"
        ,
Immediate opening available. - NOT FOR TELECOMMUTERS,
,
We have an ""Entry Level"" full time web development position on our development team working on edits and corrections for live websites and projects still in development.,
,
Graphic design and multimedia talent and skills can be strong factors in your favor, but also not necessary. Web design or PHP talent and training is also a big plus.,
,
Strong work ethic, ability to learn quickly, and love of technology and the creative process are most important attributes we seek. Get paid to learn the tech you love in a casual but dynamic environment. ,
,
Once again, this is an entry level position to help in our development team that works closely with a great team of people. Being able to start immediately is a plus.,
,
Must supply resume - Local Residents Only.,
,
Requirements,
html, css, @media queries, photoshop, illustrator, wordpress,
,
Pluses but not required,
PHP, JS, SQL, API's    ",Immediate opening - Entry level web developement
P.O.W. Contract Only - you invoice me,2018-04-22 11:13,contract,https://sandiego.craigslist.org/csd/web/d/contract-shopify-coder-needed/6568396587.html,"
        ,
Hello I am Sean.,
,
I am a small business owner selling to a small growing community; Bitcoin trading strategies. The old shopify site needs a new tune up. You will learn how to make money in the Bitcoin market, and help the community I have cultivated grow even larger. ,
,
I need someone who has some summer time to work part time WITH me to design and create a better shopify store selling memberships to a community. I would also accept this position as a paid internship if you need to make this time worked for school. ,
,
I will accept anyone who has intermediate skill in web design, understands Ruby and Liquid templates. Must have good communication skills, and is an honest hard worker. Having your own computer and working from home is a must. ,
,
Please submit a live example of your work and an example of some RUBY or Liquid code you have written and explain what the code does a little, line by line. ,
,
Required Knowledge: Shopify, HTML, CSS, RUBY, Liquid, Discord, Understands Bitcoin is a must, must live in San Diego and be able to drive to Point Loma to work at the office. Understands Social Media and how it integrates into a good website. Reports to an Airtable and shows work. Can work from home, and keep your own schedule. ,
,
Time Frame: Now-August,
Schedule: Hours are Completely flexible, you make your hours, One to Two days per week only. One day a week work WITH me in my office for a few hours to show me what you have completed. ,
Dogs OK! bring him/her to work with us. ,
 - No lifting or labor involved - There are some stairs to get into my office    ",Contract Shopify Coder Needed - store remake [RUBY/LIQUID/HTML]
TBD based on experience.,2018-04-23 13:18,contract,https://sandiego.craigslist.org/csd/web/d/web-designer-developer-with/6569485560.html,"
        ,
We are Code Loft, a web development company creating custom web systems to meet the diverse needs of our clientele, which include businesses small and large in a variety of industries, from finance, to entertainment. We are looking for a Web Designer/Developer with a keen eye for design and the skills to execute their vision.,
,
This is an in-house position, our Web Designer/Developer will need to work from our offices in downtown San Diego.,
,
Job Description,
As our dedicated Web Designer/Developer you'll work closely with our Creative Director on our existing web platform, building templates for our product, while also building new functionality, designing interactions and planning for the future of our platform. You will also discuss and make recommendations about technology choices, branding, design and user interactions.,
,
Our success depends on delivering an experience to our users that is functional, intuitive and clean.,
,
Responsibilities:,
Build website templates using our company's tools (training will be provided),
Build new functions and UI features for the main website,
Develop and implement effective internal systems supporting Marketing, Sales and Editorial departments,
Work in a collaborative environment with other developers,
,
Qualifications:,
A strong eye for design: from typography details, to full layouts,
Ability to innovate and work in a results-oriented environment,
Ability to explain technical subjects to a non-technical audience,
Ability to finish projects on time,
Photoshop expertise,
HTML5,
CSS/CSS3,
Javascript / jQuery,
.PHP,
UI/UX,
Responsive / Media Queries and Cross-Browser Compatibility,
Bootstrap or Foundation experience,
Experience with APIs through SOAP and REST is a plus,
Portfolio with examples of your most recent or relevant work,
,
On replying to this post with your portfolio, please remember to include your best contact email in your communication to us so that we can respond promptly. Looking forward to hearing from you!    ",Web Designer/Developer with an Eye for Design
